movedur,added_mass,target,effmass,effmass_mean,sum_t2
0.3,1,6,4.7133,4.5005,1.7395
0.3,1,7,2.8092,2.7121,1.4916
0.3,1,8,4.3632,4.3379,1.7294
0.4,1,1,2.6396,2.7063,1.26
0.4,1,2,4.3366,4.4844,1.8168
0.4,1,3,2.6396,2.7049,1.5037
0.4,1,4,4.3366,4.3366,1.7343
0.4,1,5,2.8201,2.7128,1.2884
0.4,1,6,4.7133,4.4979,1.8252
0.4,1,7,2.8092,2.7109,1.4746
0.4,1,8,4.3632,4.3376,1.7137
0.5,1,1,2.6396,2.7068,0.86113
0.5,1,2,4.3366,4.4854,1.2388
0.5,1,3,2.6396,2.7053,1.0324
0.5,1,4,4.3366,4.3366,1.1856
0.5,1,5,2.8201,2.712,0.88383
0.5,1,6,4.7133,4.4962,1.2458
0.5,1,7,2.8092,2.7102,1.0089
0.5,1,8,4.3632,4.3374,1.1689
0.6,1,1,2.6396,2.707,0.54381
0.6,1,2,4.3366,4.486,0.7776
0.6,1,3,2.6396,2.7056,0.64555
0.6,1,4,4.3366,4.3366,0.73922
0.6,1,5,2.8201,2.7114,0.55232
0.6,1,6,4.7133,4.4951,0.77679
0.6,1,7,2.8092,2.7097,0.63746
0.6,1,8,4.3632,4.3372,0.73536
0.7,1,1,2.6396,2.7072,0.35043
0.7,1,2,4.3366,4.4865,0.49904
0.7,1,3,2.6396,2.7058,0.41359
0.7,1,4,4.3366,4.3366,0.47304
0.7,1,5,2.8201,2.711,0.35363
0.7,1,6,4.7133,4.4943,0.49728
0.7,1,7,2.8092,2.7093,0.41087
0.7,1,8,4.3632,4.3371,0.4726
0.8,1,1,2.6396,2.7074,0.23678
0.8,1,2,4.3366,4.4869,0.33655
0.8,1,3,2.6396,2.7059,0.27885
0.8,1,4,4.3366,4.3366,0.31894
0.8,1,5,2.8201,2.7107,0.23829
0.8,1,6,4.7133,4.4937,0.33549
0.8,1,7,2.8092,2.709,0.27761
0.8,1,8,4.3632,4.3371,0.3189
0.9,1,1,2.6396,2.7075,0.16722
0.9,1,2,4.3366,4.4871,0.23746
0.9,1,3,2.6396,2.7061,0.19667
0.9,1,4,4.3366,4.3366,0.22506
0.9,1,5,2.8201,2.7105,0.16801
0.9,1,6,4.7133,4.4933,0.23687
0.9,1,7,2.8092,2.7088,0.19602
0.9,1,8,4.3632,4.337,0.22506
1,1,1,2.6396,2.7076,0.12229
1,1,2,4.3366,4.4874,0.17356
1,1,3,2.6396,2.7062,0.14369
1,1,4,4.3366,4.3366,0.16451
1,1,5,2.8201,2.7103,0.12273
1,1,6,4.7133,4.4929,0.17322
1,1,7,2.8092,2.7087,0.14334
1,1,8,4.3632,4.3369,0.16452
1.1,1,1,2.6396,2.7077,0.092037
1.1,1,2,4.3366,4.4875,0.13056
1.1,1,3,2.6396,2.7062,0.10807
1.1,1,4,4.3366,4.3365,0.12376
1.1,1,5,2.8201,2.7101,0.092291
1.1,1,6,4.7133,4.4926,0.13035
1.1,1,7,2.8092,2.7085,0.10787
1.1,1,8,4.3632,4.3369,0.12378
1.2,1,1,2.6396,2.7078,0.070965
1.2,1,2,4.3366,4.4877,0.10063
1.2,1,3,2.6396,2.7063,0.083286
1.2,1,4,4.3366,4.3365,0.095404
1.2,1,5,2.8201,2.71,0.07112
1.2,1,6,4.7133,4.4923,0.1005
1.2,1,7,2.8092,2.7084,0.083164
1.2,1,8,4.3632,4.3369,0.095415
1.3,1,1,2.6396,2.7078,0.055855
1.3,1,2,4.3366,4.4878,0.079182
1.3,1,3,2.6396,2.7064,0.065529
1.3,1,4,4.3366,4.3365,0.075076
1.3,1,5,2.8201,2.7099,0.055953
1.3,1,6,4.7133,4.4921,0.079099
1.3,1,7,2.8092,2.7083,0.065451
1.3,1,8,4.3632,4.3368,0.075083
1.4,1,1,2.6396,2.7079,0.044741
1.4,1,2,4.3366,4.4879,0.063413
